city_name,country_code,latitude,longitude,temp,humidity,cloudiness,wind_speed
marcona,pe,-24.06384,-86.2061,61.28,82,48,9.26
san angelo,us,31.83784,-100.10767,100.45,29,1,10.29
bur gabo,so,-3.45317,43.32349,76.94,78,53,24.61
na klang,th,17.12673,102.01918,75.2,100,90,1.74
ilinskiy,ru,60.77344,32.54356,59.3,77,100,18.77
bosaso,so,13.75508,47.75365,82.34,62,0,6.73
kralendijk,an,12.42106,-67.06919,82.52,83,2,21.61
bezdan,rs,45.86539,18.92251,69.8,83,0,7.9
arrecife,es,27.20075,-11.38565,84.32,41,100,15.88
dubai,ae,24.98693,54.8693,88.5,58,0,8.05
progreso,mx,23.32824,-89.35326,84.86,72,71,6.93
sudzha,ru,51.43863,35.10766,57.14,81,0,6.87
eydhafushi,mv,4.9276,73.00213,82.16,78,100,14.47
sucua,ec,-3.10323,-77.66475,70.64,81,67,1.81
payo,ph,15.84872,126.59103,83.6,77,80,18.95
goryachiy klyuch,ru,44.41189,39.11806,68.0,77,0,6.71
saint-louis,re,-23.78207,53.11504,69.2,68,53,13.89
anadyr,ru,63.7311,177.698,66.86,53,2,16.17
one hundred mile house,ca,51.82492,-121.53777,62.6,42,75,11.41
dangtu,cn,31.34661,118.24213,82.34,86,36,7.16
yangambi,cd,-1.03808,23.44044,70.28,95,100,4.56
la ronge,ca,59.90301,-107.99917,62.54,55,95,10.4
yuzhno-yeniseyskiy,ru,59.51153,95.85582,48.5,96,23,6.33
anahuac,mx,29.18944,-106.59979,75.86,48,68,7.02
santa helena,br,-2.38657,-45.52727,73.88,80,6,3.4
uarini,br,-2.69108,-65.20691,78.92,76,76,0.98
ikom,ng,5.82608,9.07384,71.0,97,77,1.14
umred,in,20.81988,79.55115,75.2,94,75,6.93
odweyne,so,9.3567,44.91502,72.62,59,24,23.06
jumla,np,29.55952,82.29305,52.46,93,100,1.99
ust-koksa,ru,49.27972,85.45238,47.96,67,0,3.96
najran,sa,19.33311,47.14488,85.94,12,0,8.39
fairbanks,us,64.98643,-142.19596,62.6,45,90,4.7
wheatley,ca,42.13175,-82.38989,70.84,64,1,13.87
bocaranga,cf,6.7977,15.18851,64.16,96,100,2.64
ha tinh,vn,18.61906,106.96709,84.14,76,86,16.26
karkaralinsk,kz,48.58642,74.82322,58.76,59,20,5.03
tucumcari,us,34.84206,-104.48273,99.54,13,1,3.36
chifeng,cn,43.55639,119.07025,67.58,72,99,3.56
